id,trip,r,t,g,b,n,m,c,v,G,boy,girl
100,1,0.11915254211158414,-0.7897457946765437,,-0.04115257157743163,0.6524782979542364,-0.4026228281389732,-0.04469885232355179,-0.0322099232615433,boy,1,0
100,2,0.8190936844867881,-0.5338432152539466,0.4829739282117896,0.12514585870246947,0.8354718394981401,0.07294015596747629,1.3046239151728,-0.32330877118616835,boy,1,0
100,3,0.34913320317772256,-0.09515307910092324,1.8342154670595423,0.8059300576608153,0.014833176236172885,0.6277636374250005,2.0988097216110004,-0.21447777096951776,boy,1,0
100,4,1.359048280033374,0.48062772459992,2.307150005656256,1.2875025953463626,-0.32414332253058625,1.0042509998426066,1.853323036773164,-0.4552543201213998,boy,1,0
101,1,-1.3407246976995555,-0.7714670390035009,,0.13207495996413213,1.510247316721958,-0.3828077038012044,-0.09059374475876518,-0.4275650169689332,boy,1,0
102,1,1.1890625740279672,2.0891582238276727,,0.9566380101019756,-0.3959564071996085,-0.18961024150795933,-0.5932728458489351,-0.4930562383382454,boy,1,0
102,2,0.8290928436635767,1.6047711984920423,0.4829739282117896,0.8942760987470126,0.41938823187082935,0.29090652368293224,-0.6939988607409405,-0.9230831551235066,boy,1,0
102,3,0.6191105009510155,2.0160432011355023,2.509836236483419,1.509233835719564,1.3891283454726828,0.8060997564649192,1.9108923786041296,-1.1535063126618574,boy,1,0
102,4,1.3490491208565851,2.993956629643284,2.509836236483419,2.2004116865704035,,1.4550450785268452,0.19293396034129354,-1.115704394445012,boy,1,0
103,1,-0.4807970084957335,-0.012898678572231329,,0.32262524465985226,0.7481614236626419,-0.5215135741655855,1.998813620489719,0.3255840287781533,boy,1,0
103,2,-0.2608155066063837,0.5720215029651332,-0.19264684121208686,1.0605745290269135,1.6219869608264097,-0.05090437114357826,0.4775627925011866,-0.6030911213006553,boy,1,0
103,3,0.6991037743653246,1.7784193773859478,1.2261567745780535,1.7985238133939758,-1.0988285800459086,0.9745283133359534,1.79209161328108,,boy,1,0
104,1,-1.810685179008621,-1.3838053540504296,,0.88734699748535,0.22926967570510476,0.3305367723584697,4.236191190807303,-0.9642559450284784,boy,1,0
104,2,-1.2407331059316689,-0.999951484916534,1.158594697635666,1.2060856555218271,,0.7714232888738238,-0.19661476269039468,,boy,1,0
105,1,0.4291264765920316,-0.6252369936191599,,-0.4950087042163285,,-0.9772614339342665,0.0397062906550634,0.4047995134491226,boy,1,0
105,2,1.0790718230832923,-0.5521219709269893,-0.4628951489816374,-0.21438010311899536,-0.6451000161147942,-0.5363749174189121,-0.5791896810097928,0.5208538101403299,boy,1,0
105,3,0.7291012518956904,-0.3053587693409136,0.4829739282117896,0.682938510266305,-0.6410400303015611,0.2661376182607213,-0.5820008917610391,,boy,1,0
106,1,0.12915170128837278,-0.7897457946765437,,-0.8016214350448964,-0.16680470012361912,-0.833601782485443,0.12396545087953392,,boy,1,0
