,radial,radial,radial,tibial,tibial,tibial,grip strength,grip strength,grip strength,torque,torque,torque,Ntx/creatine,Ntx/creatine,Ntx/creatine,maturity offset,maturity offset,maturity offset,mvh,mvh,mvh,caloric intake,caloric intake,caloric intake
,N,mean,std,N,mean,std,N,mean,std,N,mean,std,N,mean,std,N,mean,std,N,mean,std,N,mean,std
sequence,,,,,,,,,,,,,,,,,,,,,,,,
1,44,3800.25,92.54342161234865,44,3641.681818181818,112.28281831892448,0,,,40,110.17888641357422,36.5650520324707,42,7527.43408203125,4640.8115234375,44,-1.8204545974731445,1.1554299592971802,35,119.13685607910156,37.14419174194336,42,1553.5889892578125,531.325927734375
2,25,3735.68,90.9893400349733,35,3653.3714285714286,92.75967864968743,28,18.875,4.559534072875977,24,82.15621185302734,22.916183471679688,35,6202.375,3870.35302734375,38,-1.9310526847839355,1.7666640281677246,32,109.35406494140625,45.90696716308594,38,1460.1981201171875,413.6295471191406
3,62,3787.9193548387098,87.98310165381825,77,3659.3896103896104,98.77848101529156,64,20.390625,5.836032390594482,68,115.3702163696289,52.99408721923828,76,5650.87939453125,3629.47412109375,77,-1.3379220962524414,1.5783380270004272,66,121.5250015258789,38.443275451660156,77,1627.9224853515625,473.4053955078125
4,62,3822.7258064516127,95.9850004256708,67,3680.9402985074626,97.27528581408819,65,22.669231414794922,6.891047477722168,49,127.83576202392578,54.41001892089844,61,6004.845703125,4174.064453125,71,-0.9985915422439575,2.166489839553833,61,90.04803466796875,37.140830993652344,71,1555.365478515625,457.4093017578125
5,57,3817.280701754386,90.98935463361413,71,3683.9154929577467,108.66051280135538,59,25.008474349975586,7.412559986114502,65,137.75083923339844,53.851078033447266,69,5867.236328125,3926.3837890625,71,-0.49422532320022583,1.7361291646957397,48,101.24520874023438,40.73497009277344,71,1623.319580078125,480.4546813964844
6,70,3858.7285714285713,98.74838783179644,72,3725.8055555555557,103.32086476342354,70,24.807571411132812,8.038777351379395,64,140.7963104248047,58.05498123168945,69,5881.86865234375,4739.0419921875,74,-0.4913513660430908,2.23067307472229,40,112.63375091552734,42.79153060913086,74,1566.035888671875,480.8599853515625
7,45,3866.288888888889,93.92178134011839,49,3751.5102040816328,114.82815465747426,43,27.877906799316406,8.042182922363281,0,,,34,5396.63525390625,4007.943359375,50,0.3815999925136566,1.658483862876892,25,81.98320007324219,39.0916748046875,49,1770.86572265625,514.11328125
