measurement occassion,n_radial,mean_radial,std_radial,n_tibial,mean_tibial,std_tibial,n_grip,mean_grip,std_grip,n_torque,mean_torque,std_torque
1.0,152,3792.1381578947367,92.24751109132656,128,3645.5703125,99.08078971849257,162,21.273147583007812,6.60385274887085,157,1.0,0.0
2.0,107,3843.691588785047,89.86178183323761,75,3680.5733333333333,108.02954717605299,118,24.584999084472656,7.181667804718018,112,2.0,0.0
3.0,27,3876.037037037037,98.61560240163335,17,3690.3529411764707,92.251653898772,49,27.96938705444336,8.50515079498291,40,3.0,0.0
"(0, 1.0)",75,3783.866666666667,93.35015935847278,61,3643.8688524590166,91.94898502427601,84,22.377975463867188,7.3526177406311035,58,1.3275862068965518,0.5091420728369715
"(0, 2.0)",51,3825.7843137254904,82.97525263004398,32,3668.4375,112.67937313027726,59,25.81779670715332,8.522008895874023,42,2.119047619047619,0.6325473452782668
"(0, 3.0)",13,3875.769230769231,104.87862337495488,8,3651.625,80.09982611003062,23,30.869565963745117,10.727213859558105,11,2.3636363636363638,0.674199862463242
"(1, 1.0)",77,3800.194805194805,91.04409558603975,67,3647.1194029850744,105.82611844479948,78,20.08333396911621,5.490645408630371,66,1.2878787878787878,0.45624391300981554
"(1, 2.0)",56,3860.0,93.46579345115808,43,3689.6046511627906,104.85730429286225,59,23.352203369140625,5.322155475616455,49,2.2653061224489797,0.5313312762957475
"(1, 3.0)",14,3876.285714285714,96.41850171272871,9,3724.777777777778,92.59424628152898,26,25.403846740722656,4.800040245056152,7,2.142857142857143,1.0690449676496976
