,Radial SOS,Radial SOS,Radial SOS,tibial SOS,tibial SOS,tibial SOS,grip strength,grip strength,grip strength,knee extensors,knee extensors,knee extensors,ntx creatine,ntx creatine,ntx creatine,caloric intake,caloric intake,caloric intake,maturity offset,maturity offset,maturity offset,MVH,MVH,MVH
,n,mean,std,n,mean,std,n,mean,std,n,mean,std,n,mean,std,n,mean,std,n,mean,std,n,mean,std
All,406,3816.0837438423646,100.00840893915684,406,3687.411330049261,109.41663840660577,363,23.425702479338838,7.400601382138764,406,131.47563689854672,57.727544293965934,376,539.8239053690421,263.64747298158096,404,1593.4334883663364,479.50869546248117,406,-0.8572413793103447,2.018660055731156,298,107.0477516778523,41.53228391728461
boy,209,3806.622009569378,96.9498566556835,209,3676.4593301435407,101.31524261475953,185,24.895945945945947,8.548553608734645,209,139.09904306220093,65.70165375979646,193,544.5568968709846,230.2898814965673,209,1724.1127990430623,503.0761218338746,209,-1.607416267942583,1.8651544130558664,145,114.86089655172415,42.59012111454631
girl,197,3826.1218274111675,102.44637910908266,197,3699.0304568527918,116.53855053811556,178,21.8976404494382,5.606951098034986,197,123.38786081629443,46.66109225152657,183,534.8322804516941,295.3387388964932,195,1453.3720733333332,410.08520390583703,197,-0.061370558375634626,1.8686191152025065,153,99.64313725490199,39.224375434808046
